Id,Url,PlayerName,Team,PlayerName_Official,PlayerName_Full
641154,https://www.mlb.com/player/641154,Lopez P,Miami Marlins,Pablo Lopez,Pablo Jose Lopez
622251,https://www.mlb.com/player/622251,Staumont,Kansas City Royals,Josh Staumont,Joshua Tyler Staumont
669701,https://www.mlb.com/player/669701,Smith Josh,Texas Rangers,Josh H. Smith,Josh Harris Smith
622253,https://www.mlb.com/player/622253,Tate,Baltimore Orioles,Dillon Tate,Dillon Michael Tate
596117,https://www.mlb.com/player/596117,Stubbs,Philadelphia Phillies,Garrett Stubbs,Garrett Patrick Stubbs
670912,https://www.mlb.com/player/670912,Oviedo,Pittsburgh Pirates,Johan Oviedo,Johan Oviedo
622250,https://www.mlb.com/player/622250,Sborz,Texas Rangers,Josh Sborz,Joshua Alan Sborz
446372,https://www.mlb.com/player/446372,Kluber,Tampa Bay Rays,Corey Kluber,Corey Scott Kluber
622491,https://www.mlb.com/player/622491,Castillo L,Seattle Mariners,Luis Castillo,Luis Miguel Castillo
596112,https://www.mlb.com/player/596112,Stephenson R,Pittsburgh Pirates,Robert Stephenson,Robert William Stephenson
656627,https://www.mlb.com/player/656627,Kolozsvary,Cincinnati Reds,Mark Kolozsvary,Mark Daniel Kolozsvary
596115,https://www.mlb.com/player/596115,Story,Boston Red Sox,Trevor Story,Trevor John Story
656629,https://www.mlb.com/player/656629,Kopech,Chicago White Sox,Michael Kopech,Michael Talbert Kopech
609280,https://www.mlb.com/player/609280,Andujar,Pittsburgh Pirates,Miguel Andujar,Miguel Enrique Andujar
573262,https://www.mlb.com/player/573262,Yastrzemski,San Francisco Giants,Mike Yastrzemski,Michael Andrew Yastrzemski
502043,https://www.mlb.com/player/502043,Gibson,Philadelphia Phillies,Kyle Gibson,Kyle Benjamin Gibson
664247,https://www.mlb.com/player/664247,Garlick,Minnesota Twins,Kyle Garlick,Kyle Bruce Garlick
663158,https://www.mlb.com/player/663158,Suarez R,San Diego Padres,Robert Suarez,Robert Alexander Suarez
502042,https://www.mlb.com/player/502042,Archer,Minnesota Twins,Chris Archer,Christopher Alan Archer
600474,https://www.mlb.com/player/600474,Severino,Milwaukee Brewers,Pedro Severino,Pedro Severino
669935,https://www.mlb.com/player/669935,Alexy,Texas Rangers,A.J. Alexy,Adam John Alexy
624428,https://www.mlb.com/player/624428,Frazier,Seattle Mariners,Adam Frazier,Adam Timothy Frazier
518617,https://www.mlb.com/player/518617,Diekman,Chicago White Sox,Jake Diekman,Jacob Tanner Diekman
677551,https://www.mlb.com/player/677551,Franco,Tampa Bay Rays,Wander Franco,Wander Samuel Franco
642239,https://www.mlb.com/player/642239,Zastryzny,Los Angeles Angels,Rob Zastryzny,Robert John Zastryzny
681806,https://www.mlb.com/player/681806,Wantz,Los Angeles Angels,Andrew Wantz,Andrew Hunter Wantz
668881,https://www.mlb.com/player/668881,Greene H,Cincinnati Reds,Hunter Greene,Christian Hunter Greene
644433,https://www.mlb.com/player/644433,Tromp,Atlanta Braves,Chadwick Tromp,Chadwick Chandler Tromp
657745,https://www.mlb.com/player/657745,Rossman B,Philadelphia Phillies,Bubby Rossman,Charles Rossman
666464,https://www.mlb.com/player/666464,Encarnacion,Miami Marlins,Jerar Encarnacion,Jerar Luis Encarnacion
657746,https://www.mlb.com/player/657746,Ryan,Minnesota Twins,Joe Ryan,Joseph Philip Ryan
664285,https://www.mlb.com/player/664285,Valdez F,Houston Astros,Framber Valdez,Framber Valdez
664042,https://www.mlb.com/player/664042,Lakins Sr.,Baltimore Orioles,Travis Lakins Sr.,Travis Clay Lakins Sr.
595453,https://www.mlb.com/player/595453,Wallach,Los Angeles Angels,Chad Wallach,Chad Arthur Wallach
613534,https://www.mlb.com/player/613534,Adams,San Diego Padres,Austin Adams,Austin Lance Adams
664041,https://www.mlb.com/player/664041,Davis Ja,Boston Red Sox,Jaylin Davis,Jaylin Malik Davis
446321,https://www.mlb.com/player/446321,Detwiler,Cincinnati Reds,Ross Detwiler,Ross Emery Detwiler
664040,https://www.mlb.com/player/664040,Lowe B,Tampa Bay Rays,Brandon Lowe,Brandon Norman Lowe
657508,https://www.mlb.com/player/657508,Baumann,Baltimore Orioles,Mike Baumann,Michael Thomas Baumann
656420,https://www.mlb.com/player/656420,Feyereisen,Tampa Bay Rays,J.P. Feyereisen,Jonathon Paul Feyereisen
609274,https://www.mlb.com/player/609274,Hernandez E,Texas Rangers,Elier Hernandez,Elier Hernandez
592192,https://www.mlb.com/player/592192,Canha,New York Mets,Mark Canha,Mark David Canha
506433,https://www.mlb.com/player/506433,Darvish,San Diego Padres,Yu Darvish,Yu Darvish
643338,https://www.mlb.com/player/643338,Green,New York Yankees,Chad Green,Chad Keith Green
624415,https://www.mlb.com/player/624415,Biggio,Toronto Blue Jays,Cavan Biggio,Cavan Thomas Biggio
644429,https://www.mlb.com/player/644429,Severino A,Chicago White Sox,Anderson Severino,Anderson Severino
678692,https://www.mlb.com/player/678692,Henriquez,Minnesota Twins,Ronny Henriquez,Ronny Henriquez
624413,https://www.mlb.com/player/624413,Alonso,New York Mets,Pete Alonso,Peter Morgan Alonso
670970,https://www.mlb.com/player/670970,Morejon,San Diego Padres,Adrian Morejon,Adrian Morejon
624414,https://www.mlb.com/player/624414,Arroyo,Boston Red Sox,Christian Arroyo,Christian Israel Arroyo
621389,https://www.mlb.com/player/621389,Blach,Colorado Rockies,Ty Blach,Tyson Michael Blach
642020,https://www.mlb.com/player/642020,Robinson C,Cincinnati Reds,Chuckie Robinson,Charles Robinson
621383,https://www.mlb.com/player/621383,Banks,Chicago White Sox,Tanner Banks,Tanner Pierce Banks
544931,https://www.mlb.com/player/544931,Strasburg,Washington Nationals,Stephen Strasburg,Stephen James Strasburg
669720,https://www.mlb.com/player/669720,Hays,Baltimore Orioles,Austin Hays,Austin Charles Bryan Hays
518886,https://www.mlb.com/player/518886,Kimbrel,Los Angeles Dodgers,Craig Kimbrel,Craig Michael Kimbrel
666214,https://www.mlb.com/player/666214,Wentz,Detroit Tigers,Joey Wentz,Joseph Barrett Wentz
656887,https://www.mlb.com/player/656887,Reid-Foley,New York Mets,Sean Reid-Foley,Sean Ian Reid-Foley
621381,https://www.mlb.com/player/621381,Strahm,Boston Red Sox,Matt Strahm,Matthew Scott Strahm
664034,https://www.mlb.com/player/664034,France,Seattle Mariners,Ty France,Tyler Lawrence France
666211,https://www.mlb.com/player/666211,Trammell,Seattle Mariners,Taylor Trammell,Taylor Walter-Lee Trammell
672911,https://www.mlb.com/player/672911,Cruz,Atlanta Braves,Jesus Cruz,Jesus Cruz
665120,https://www.mlb.com/player/665120,Walsh,Los Angeles Angels,Jared Walsh,Jared James Walsh
543606,https://www.mlb.com/player/543606,Odorizzi,Atlanta Braves,Jake Odorizzi,Jacob Todd Odorizzi
592178,https://www.mlb.com/player/592178,Bryant,Colorado Rockies,Kris Bryant,Kristopher Lee Bryant
612434,https://www.mlb.com/player/612434,Castro,New York Yankees,Miguel Castro,Miguel Angel Castro
664029,https://www.mlb.com/player/664029,Mathias,Texas Rangers,Mark Mathias,Mark Andrew Mathias
656413,https://www.mlb.com/player/656413,Fairchild,Cincinnati Reds,Stuart Fairchild,Stuart Alexander Fairchild
666205,https://www.mlb.com/player/666205,Muller,Atlanta Braves,Kyle Muller,Kyle Douglas Muller
666204,https://www.mlb.com/player/666204,Jimenez D,Oakland Athletics,Dany Jimenez,Dany Jimenez
656896,https://www.mlb.com/player/656896,Rivera,Arizona Diamondbacks,Emmanuel Rivera,Emmanuel Miguel Rivera
656412,https://www.mlb.com/player/656412,Faedo,Detroit Tigers,Alex Faedo,Alexander Michael Faedo
680777,https://www.mlb.com/player/680777,Jeffers,Minnesota Twins,Ryan Jeffers,Ryan Michael Jeffers
643348,https://www.mlb.com/player/643348,Hamilton C,Minnesota Twins,Caleb Hamilton,Caleb Hamilton
678225,https://www.mlb.com/player/678225,Bae,Pittsburgh Pirates,Ji Hwan Bae,Ji Hwan Bae
680776,https://www.mlb.com/player/680776,Duran Ja,Boston Red Sox,Jarren Duran,Jarren William Duran
669713,https://www.mlb.com/player/669713,Wesneski,Chicago Cubs,Hayden Wesneski,Hayden Gregory Wesneski
660906,https://www.mlb.com/player/660906,Perez F,Washington Nationals,Francisco Perez,Francisco Alberto Perez
668868,https://www.mlb.com/player/668868,Thompson Z.D.,St. Louis Cardinals,Zack Thompson,Zachary David Thompson
472610,https://www.mlb.com/player/472610,Garcia L,San Diego Padres,Luis Garcia,Luis Amado Garcia
668663,https://www.mlb.com/player/668663,Barrera,Washington Nationals,Tres Barrera,Felipe Jesus Barrera
643361,https://www.mlb.com/player/643361,Herget,Tampa Bay Rays,Kevin Herget,Kevin R. Herget
645302,https://www.mlb.com/player/645302,Robles,Washington Nationals,Victor Robles,Victor Enrique Robles
624641,https://www.mlb.com/player/624641,Sosa E,Philadelphia Phillies,Edmundo Sosa,Edmundo Israel Sosa
668665,https://www.mlb.com/player/668665,Nogosek,New York Mets,Stephen Nogosek,Stephen James Nogosek
693821,https://www.mlb.com/player/693821,Elder,Atlanta Braves,Bryce Elder,Bryce Cason Elder
573204,https://www.mlb.com/player/573204,Thielbar,Minnesota Twins,Caleb Thielbar,Caleb John Thielbar
665155,https://www.mlb.com/player/665155,Maton N,Philadelphia Phillies,Nick Maton,Nicholas Maton
553882,https://www.mlb.com/player/553882,Narvaez,Milwaukee Brewers,Omar Narvaez,Omar David Narvaez
665152,https://www.mlb.com/player/665152,Kremer,Baltimore Orioles,Dean Kremer,Dean Junior Kremer
664062,https://www.mlb.com/player/664062,Gonsolin,Los Angeles Dodgers,Tony Gonsolin,Anthony D. Gonsolin
572362,https://www.mlb.com/player/572362,Erlin,Los Angeles Dodgers,Robbie Erlin,Robert Joseph Erlin
657770,https://www.mlb.com/player/657770,Stout,Pittsburgh Pirates,Eric Stout,Eric Stout
607074,https://www.mlb.com/player/607074,Rodon,San Francisco Giants,Carlos Rodon,Carlos Antonio Rodon
425877,https://www.mlb.com/player/425877,Molina,St. Louis Cardinals,Yadier Molina,Yadier Benjamin Molina
656686,https://www.mlb.com/player/656686,Martin Co,Arizona Diamondbacks,Corbin Martin,Corbin Montgomery Martin
656685,https://www.mlb.com/player/656685,Martin B,Texas Rangers,Brett Martin,Brett Ryan Martin
664059,https://www.mlb.com/player/664059,Haggerty,Seattle Mariners,Sam Haggerty,Samuel Onofrio Haggerty
642028,https://www.mlb.com/player/642028,Rogers J,Washington Nationals,Josh Rogers,Joshua Cole Rogers
682928,https://www.mlb.com/player/682928,Abrams,Washington Nationals,CJ Abrams,Paul Christopher Abrams
621368,https://www.mlb.com/player/621368,Hearn,Texas Rangers,Taylor Hearn,Taylor Lynn Hearn
674072,https://www.mlb.com/player/674072,Henry,Arizona Diamondbacks,Tommy Henry,Thomas Jack Henry
541645,https://www.mlb.com/player/541645,Garcia Av,Miami Marlins,Avisail Garcia,Avisail Antonio Garcia
679529,https://www.mlb.com/player/679529,Torkelson,Detroit Tigers,Spencer Torkelson,Spencer Enochs Torkelson
621366,https://www.mlb.com/player/621366,Borucki,Seattle Mariners,Ryan Borucki,Ryan Joseph Borucki
643377,https://www.mlb.com/player/643377,Jax,Minnesota Twins,Griffin Jax,James Griffin Jax
541640,https://www.mlb.com/player/541640,Ramirez,Washington Nationals,Erasmo Ramirez,Erasmo Jose Ramirez
669743,https://www.mlb.com/player/669743,Call,Washington Nationals,Alex Call,Alex M. Call
669742,https://www.mlb.com/player/669742,Hall D,Philadelphia Phillies,Darick Hall,Darick Hall
622694,https://www.mlb.com/player/622694,Hernandez E,Miami Marlins,Elieser Hernandez,Elieser Alexis Hernandez
670950,https://www.mlb.com/player/670950,Richards T,Toronto Blue Jays,Trevor Richards,Trevor Michael Richards
621363,https://www.mlb.com/player/621363,Poche,Tampa Bay Rays,Colin Poche,Colin Michael Poche
621121,https://www.mlb.com/player/621121,McCullers Jr.,Houston Astros,Lance McCullers Jr.,Lance G. McCullers Jr.
643376,https://www.mlb.com/player/643376,Jansen D,Toronto Blue Jays,Danny Jansen,Daniel Robert Jansen
664058,https://www.mlb.com/player/664058,Fletcher,Los Angeles Angels,David Fletcher,David Owen Fletcher
664299,https://www.mlb.com/player/664299,Javier,Houston Astros,Cristian Javier,Cristian Javier
670955,https://www.mlb.com/player/670955,Uceta,Arizona Diamondbacks,Edwin Uceta,Edwin Daniel Uceta
670712,https://www.mlb.com/player/670712,Brosseau,Milwaukee Brewers,Mike Brosseau,Michael Dillon Brosseau
664056,https://www.mlb.com/player/664056,Bader,New York Yankees,Harrison Bader,Harrison Joseph Bader
657756,https://www.mlb.com/player/657756,Seabold,Boston Red Sox,Connor Seabold,Connor Seabold
657757,https://www.mlb.com/player/657757,Sheets,Chicago White Sox,Gavin Sheets,Gavin Sheets
656669,https://www.mlb.com/player/656669,Luplow,Arizona Diamondbacks,Jordan Luplow,Jordan Thomas Luplow
656427,https://www.mlb.com/player/656427,Flaherty,St. Louis Cardinals,Jack Flaherty,Jack Rafe Flaherty
572125,https://www.mlb.com/player/572125,Selman,Oakland Athletics,Sam Selman,Samuel Ayres Selman
664054,https://www.mlb.com/player/664054,Stashak,Minnesota Twins,Cody Stashak,Cody William Stashak
446334,https://www.mlb.com/player/446334,Longoria,San Francisco Giants,Evan Longoria,Evan Michael Longoria
664294,https://www.mlb.com/player/664294,Moreta,Cincinnati Reds,Dauri Moreta,Dauri Michell Moreta
543829,https://www.mlb.com/player/543829,Strange-Gordon,Washington Nationals,Dee Strange-Gordon,Devaris Strange-Gordon
489265,https://www.mlb.com/player/489265,Romo,Toronto Blue Jays,Sergio Romo,Sergio Francisco Romo
502085,https://www.mlb.com/player/502085,Robertson,Philadelphia Phillies,David Robertson,David Alan Robertson
680757,https://www.mlb.com/player/680757,Kwan,Cleveland Guardians,Steven Kwan,Steven Kwan
676265,https://www.mlb.com/player/676265,Abbott,Washington Nationals,Cory Abbott,Cory James Abbott
553869,https://www.mlb.com/player/553869,Diaz E,Colorado Rockies,Elias Diaz,Elias David Diaz
677594,https://www.mlb.com/player/677594,Rodriguez J,Seattle Mariners,Julio Rodriguez,Julio Yarnel Rodriguez
676628,https://www.mlb.com/player/676628,Contreras,Minnesota Twins,Mark Contreras,Mark A. Contreras
677954,https://www.mlb.com/player/677954,Groshans,Miami Marlins,Jordan Groshans,Jordan Groshans
673357,https://www.mlb.com/player/673357,Robert Jr.,Chicago White Sox,Luis Robert Jr.,Luis Robert Jr.
595777,https://www.mlb.com/player/595777,Profar,San Diego Padres,Jurickson Profar,Jurickson Barthelomeus Profar
682073,https://www.mlb.com/player/682073,Hensley,Houston Astros,David Hensley,David James Hensley
666818,https://www.mlb.com/player/666818,Frias,Arizona Diamondbacks,Luis Frias,Luis David Frias
664875,https://www.mlb.com/player/664875,Lawrence,Colorado Rockies,Justin Lawrence,Justin Anthony Lawrence
664874,https://www.mlb.com/player/664874,Zavala,Chicago White Sox,Seby Zavala,Bernardo Sebastian Zavala
608703,https://www.mlb.com/player/608703,Reynolds M,Cincinnati Reds,Matt Reynolds,Matthew William Reynolds
675540,https://www.mlb.com/player/675540,Curry,Cleveland Guardians,Xzavion Curry,Xzavion Rashan Curry
