Id,PlayerType,MonthType,MonthTypeV,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
657277,Pitcher,Second Inning,1,,,2.53,32,,,32.0,127,26,10,9,3,11,23,1.16,,,,,,,,,,,,,,,,,
657277,Pitcher,Fifth Inning,4,,,2.17,30,,,29.0,124,33,15,7,0,3,25,1.24,,,,,,,,,,,,,,,,,
657277,Pitcher,Sixth Inning,5,,,0.83,23,,,21.2,85,18,4,2,0,2,17,0.92,,,,,,,,,,,,,,,,,
657277,Pitcher,First Inning,0,,,3.38,32,,,32.0,128,24,13,12,4,9,30,1.03,,,,,,,,,,,,,,,,,
657277,Pitcher,Third Inning,2,,,3.38,32,,,32.0,126,29,12,12,1,6,27,1.09,,,,,,,,,,,,,,,,,
657277,Pitcher,Eighth Inning,7,,,2.25,5,,,4.0,16,2,1,1,0,2,4,1.00,,,,,,,,,,,,,,,,,
605397,Pitcher,Fourth Inning,3,,,2.12,30,,,29.2,123,29,12,7,3,5,25,1.15,,,,,,,,,,,,,,,,,
605397,Pitcher,Seventh Inning,6,,,4.66,11,,,9.2,43,8,5,5,1,4,7,1.24,,,,,,,,,,,,,,,,,
605397,Pitcher,Second Inning,1,,,1.50,30,,,30.0,116,17,7,5,3,8,33,0.83,,,,,,,,,,,,,,,,,
605397,Pitcher,Fifth Inning,4,,,5.14,29,,,28.0,121,31,17,16,6,5,28,1.29,,,,,,,,,,,,,,,,,
605397,Pitcher,Sixth Inning,5,,,7.15,25,,,22.2,105,26,18,18,5,12,24,1.68,,,,,,,,,,,,,,,,,
605397,Pitcher,First Inning,0,,,1.50,30,,,30.0,117,24,5,5,4,5,34,0.97,,,,,,,,,,,,,,,,,
605397,Pitcher,Third Inning,2,,,0.90,30,,,30.0,111,18,3,3,0,3,33,0.70,,,,,,,,,,,,,,,,,
605397,Pitcher,Eighth Inning,7,,,0.00,1,,,1.0,4,1,0,0,0,0,0,1.00,,,,,,,,,,,,,,,,,
502671,Batter,Extra Innings,9,,,,,,,,,,,,,,,,9,7,3,1,0,0,1,4,2,1,0,0,0,.143,.333,.571,.904
502671,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,45,38,5,6,0,0,1,5,7,12,1,0,0,.158,.289,.237,.526
502671,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,68,57,10,19,4,0,3,14,10,9,0,0,0,.333,.433,.561,.994
502671,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,60,51,11,17,4,0,4,11,5,12,0,0,2,.333,.400,.647,1.047
502671,Batter,Second Inning,1,,,,,,,,,,,,,,,,24,19,5,7,3,0,2,12,3,5,0,0,1,.368,.458,.842,1.300
502671,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,57,56,6,19,7,0,3,11,1,13,1,0,0,.339,.351,.625,.976
502671,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,88,77,15,26,7,0,2,9,11,20,1,0,0,.338,.420,.506,.926
502671,Batter,First Inning,0,,,,,,,,,,,,,,,,150,124,28,44,6,0,9,19,25,34,1,0,0,.355,.460,.621,1.081
502671,Batter,Third Inning,2,,,,,,,,,,,,,,,,87,79,15,28,9,0,6,24,5,19,1,0,2,.354,.407,.696,1.103
502671,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,63,53,8,11,1,0,4,6,10,16,2,0,0,.208,.333,.453,.786
608385,Batter,Extra Innings,9,,,,,,,,,,,,,,,,8,7,0,1,0,0,0,2,0,2,0,0,0,.143,.125,.143,.268
608385,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,41,35,4,7,0,0,1,7,6,6,0,0,0,.200,.317,.286,.603
608385,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,65,61,9,16,2,0,1,2,4,16,0,0,0,.262,.308,.344,.652
608385,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,58,48,4,12,1,0,3,6,10,11,0,0,0,.250,.379,.458,.837
608385,Batter,Second Inning,1,,,,,,,,,,,,,,,,40,34,3,9,0,0,0,2,4,9,0,0,2,.265,.375,.265,.640
608385,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,57,50,9,14,3,0,4,8,6,9,0,0,1,.280,.368,.580,.948
608385,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,62,49,5,7,1,0,2,7,12,10,0,0,0,.143,.306,.286,.592
608385,Batter,First Inning,0,,,,,,,,,,,,,,,,96,74,6,13,3,0,1,5,20,17,0,0,1,.176,.354,.257,.611
608385,Batter,Third Inning,2,,,,,,,,,,,,,,,,64,50,6,11,1,0,1,6,14,13,0,0,0,.220,.391,.300,.691
608385,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,56,48,5,10,4,0,1,8,8,10,0,0,0,.208,.321,.354,.675
641355,Batter,Extra Innings,9,,,,,,,,,,,,,,,,3,3,4,1,0,0,0,0,0,0,0,0,0,.333,.333,.333,.666
641355,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,59,55,7,10,1,1,1,3,4,11,3,0,0,.182,.237,.291,.528
641355,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,78,70,10,14,5,0,3,16,7,25,2,1,1,.200,.282,.400,.682
641355,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,71,60,10,12,3,0,2,7,9,14,2,0,1,.200,.310,.350,.660
641355,Batter,Second Inning,1,,,,,,,,,,,,,,,,95,84,14,15,4,0,4,12,8,26,0,1,0,.179,.242,.369,.611
641355,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,57,56,5,10,3,0,2,5,1,19,3,0,0,.179,.193,.339,.532
641355,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,64,58,4,13,3,1,1,4,6,17,3,0,0,.224,.297,.362,.659
641355,Batter,First Inning,0,,,,,,,,,,,,,,,,7,7,0,1,1,0,0,2,0,4,0,0,0,.143,.143,.286,.429
641355,Batter,Third Inning,2,,,,,,,,,,,,,,,,53,52,4,13,4,0,2,7,0,17,0,0,0,.250,.245,.442,.687
641355,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,63,59,12,17,3,1,4,12,3,17,1,1,0,.288,.317,.576,.893
514888,Batter,Extra Innings,9,,,,,,,,,,,,,,,,7,4,2,0,0,0,0,0,3,2,2,0,0,.000,.429,.000,.429
514888,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,36,29,6,7,0,0,1,1,7,2,2,0,0,.241,.389,.345,.734
514888,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,45,42,4,12,3,0,0,2,3,5,0,0,0,.286,.333,.357,.690
514888,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,66,62,6,20,5,0,2,6,4,14,1,0,0,.323,.364,.500,.864
514888,Batter,Second Inning,1,,,,,,,,,,,,,,,,30,26,3,11,6,0,0,7,4,3,1,0,0,.423,.500,.654,1.154
514888,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,82,71,14,19,6,0,3,11,9,21,2,0,2,.268,.366,.479,.845
514888,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,53,50,6,15,3,0,2,6,2,8,2,0,1,.300,.340,.480,.820
514888,Batter,First Inning,0,,,,,,,,,,,,,,,,138,115,36,38,10,0,12,12,18,9,7,0,5,.330,.442,.730,1.172
514888,Batter,Third Inning,2,,,,,,,,,,,,,,,,96,84,20,22,4,0,6,7,11,15,1,1,1,.262,.354,.524,.878
514888,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,51,44,6,14,2,0,2,5,5,8,0,0,1,.318,.392,.500,.892
453568,Batter,Extra Innings,9,,,,,,,,,,,,,,,,8,6,2,2,0,0,0,2,2,0,0,0,0,.333,.500,.333,.833
453568,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,43,39,3,9,2,1,1,5,4,6,0,0,0,.231,.302,.410,.712
453568,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,45,42,4,9,0,1,0,5,3,12,0,0,0,.214,.267,.262,.529
453568,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,51,46,5,14,2,0,1,11,4,6,0,0,1,.304,.373,.413,.786
453568,Batter,Second Inning,1,,,,,,,,,,,,,,,,19,18,0,1,0,0,0,1,1,7,0,0,0,.056,.105,.056,.161
453568,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,63,55,9,20,4,0,1,7,4,9,1,1,2,.364,.419,.491,.910
453568,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,72,68,10,17,6,0,4,16,3,14,0,0,1,.250,.292,.515,.807
